colour	y	x	label	showSelected1
#000000	0.129363013422117	12.8799138822593	Head	1
#000000	0.129363013422117	12.8799138822593	Head	2
#0000FF	0.491179468217306	10.7960236144718	Tail	2
#000000	0.129363013422117	12.8799138822593	Head	3
#0000FF	0.491179468217306	10.7960236144718	Tail	3
#000000	0.310682862987742	12.0111816626042	Head	3
#000000	0.129363013422117	12.8799138822593	Head	4
#0000FF	0.491179468217306	10.7960236144718	Tail	4
#000000	0.310682862987742	12.0111816626042	Head	4
#0000FF	0.267514863624238	15.6448958544992	Tail	4
#000000	0.129363013422117	12.8799138822593	Head	5
#0000FF	0.491179468217306	10.7960236144718	Tail	5
#000000	0.310682862987742	12.0111816626042	Head	5
#0000FF	0.267514863624238	15.6448958544992	Tail	5
#FF0000	0.211286671101116	11.9666386979166	Stand	5
#000000	0.129363013422117	12.8799138822593	Head	6
#0000FF	0.491179468217306	10.7960236144718	Tail	6
#000000	0.310682862987742	12.0111816626042	Head	6
#0000FF	0.267514863624238	15.6448958544992	Tail	6
#FF0000	0.211286671101116	11.9666386979166	Stand	6
#000000	0.450123270615004	15.144731732551	Head	6
#000000	0.129363013422117	12.8799138822593	Head	7
#0000FF	0.491179468217306	10.7960236144718	Tail	7
#000000	0.310682862987742	12.0111816626042	Head	7
#0000FF	0.267514863624238	15.6448958544992	Tail	7
#FF0000	0.211286671101116	11.9666386979166	Stand	7
#000000	0.450123270615004	15.144731732551	Head	7
#0000FF	0.192045932393521	15.3326178579126	Tail	7
#000000	0.129363013422117	12.8799138822593	Head	8
#0000FF	0.491179468217306	10.7960236144718	Tail	8
#000000	0.310682862987742	12.0111816626042	Head	8
#0000FF	0.267514863624238	15.6448958544992	Tail	8
#FF0000	0.211286671101116	11.9666386979166	Stand	8
#000000	0.450123270615004	15.144731732551	Head	8
#0000FF	0.192045932393521	15.3326178579126	Tail	8
#0000FF	0.154119640346617	12.9481328621041	Tail	8
#000000	0.129363013422117	12.8799138822593	Head	9
#0000FF	0.491179468217306	10.7960236144718	Tail	9
#000000	0.310682862987742	12.0111816626042	Head	9
#0000FF	0.267514863624238	15.6448958544992	Tail	9
#FF0000	0.211286671101116	11.9666386979166	Stand	9
#000000	0.450123270615004	15.144731732551	Head	9
#0000FF	0.192045932393521	15.3326178579126	Tail	9
#0000FF	0.154119640346617	12.9481328621041	Tail	9
#0000FF	0.0953226175531745	11.4033802569378	Tail	9
#000000	0.129363013422117	12.8799138822593	Head	10
#0000FF	0.491179468217306	10.7960236144718	Tail	10
#000000	0.310682862987742	12.0111816626042	Head	10
#0000FF	0.267514863624238	15.6448958544992	Tail	10
#FF0000	0.211286671101116	11.9666386979166	Stand	10
#000000	0.450123270615004	15.144731732551	Head	10
#0000FF	0.192045932393521	15.3326178579126	Tail	10
#0000FF	0.154119640346617	12.9481328621041	Tail	10
#0000FF	0.0953226175531745	11.4033802569378	Tail	10
#0000FF	0.0960858731903136	9.34733858932741	Tail	10
#000000	0.129363013422117	12.8799138822593	Head	11
#0000FF	0.491179468217306	10.7960236144718	Tail	11
#000000	0.310682862987742	12.0111816626042	Head	11
#0000FF	0.267514863624238	15.6448958544992	Tail	11
#FF0000	0.211286671101116	11.9666386979166	Stand	11
#000000	0.450123270615004	15.144731732551	Head	11
#0000FF	0.192045932393521	15.3326178579126	Tail	11
#0000FF	0.154119640346617	12.9481328621041	Tail	11
#0000FF	0.0953226175531745	11.4033802569378	Tail	11
#0000FF	0.0960858731903136	9.34733858932741	Tail	11
#FF0000	0.25102130276151	15.4953384655062	Stand	11
#000000	0.129363013422117	12.8799138822593	Head	12
#0000FF	0.491179468217306	10.7960236144718	Tail	12
